row_id	system	object_class	workload	source_status	locally_reproduced	matched_workload	native_proof_equivalent	proof_size_comparable	primary_metric	primary_value	proof_size_policy	timing_policy	claim_boundary
local_stwo_two_proof_frontier	Stwo/STARK	local_two_proof_target	INTERNAL_FRONTIER_ONLY	GO_CURRENT_COMPARISON_FRONTIER_NOT_ONE_PROOF	True	False	False	False	two_proof_frontier_typed_bytes	40700	internal frontier only; two proof objects, not external-comparable	no median-of-5 timing claim	current honest frontier is two proof objects, not one block proof
compact_statement_chain_not_proof	statement artifact	local_statement_artifact	STATEMENT_VALIDITY_SURFACE_NOT_PROOF_SIZE_ROW	GO_STATEMENT_BOUNDARY_NOT_PROOF_OBJECT	True	False	False	False	statement_chain_rows	199553	not comparable to native proof bytes	no timing claim	binds the object to a statement chain; does not prove the whole block natively
nanozk_paper_reported_context	NANOZK	paper_reported_external_context	CONTEXT_ONLY_NOT_LOCAL_REPRODUCTION_NOT_MATCHED_WORKLOAD	paper_reported_not_locally_reproduced	False	False	False	False	reported_proof_size_bytes	6900	paper context only; not local reproduction and not matched workload	not reported in this local audit	paper-reported context only
gkr_tiny_gemm_sidecar	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm	GO	True	False	False	False	proof_bytes	11645	tiny fixture proof bytes; not matched d128 transformer-layer proof bytes	fixture timing only, not paper timing	TINY_LINEAR_PROJECTION_ONLY_NOT_D128_MLP
gkr_tiny_residual_add_heavier_shape	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm(width-preserving) -> Add(input)	GO	True	False	False	False	proof_bytes	56054	tiny residual shape only; heavier than the local Stwo dense substitute	fixture timing only, not paper timing	TINY_RESIDUAL_ADD_SHAPE_NOT_D128_MLP
gkr_tiny_layernorm_heavier_shape	JSTprove/Remainder-GKR-sumcheck	local_external_gkr_fixture	Gemm(width-preserving) -> LayerNormalization	GO	True	False	False	False	proof_bytes	52080	tiny normalization-like shape only; not our RMSNorm component	fixture timing only, not paper timing	TINY_NORMALIZATION_SHAPE_NOT_OUR_RMSNORM_COMPONENT
jolt_atlas_repo_gpt2_timing_context	Jolt Atlas	external_lookup_tensor_zkml_repo_benchmark	GPT-2 125M ONNX inference	repo_reported_not_locally_reproduced	False	False	False	False	readme_proof_time_seconds	14.889	not_reported_in_readme_row	repo_reported_macbook_m3_16gb_not_local	TIMING_CONTEXT_ONLY_NOT_LOCAL_AND_NOT_PROOF_SIZE
jolt_atlas_self_attention_reproduction_target	Jolt Atlas	external_lookup_tensor_zkml_reproduction_target	single self-attention block example	repo_command_available_not_locally_reproduced	False	False	False	False	example_command	cargo run --release --package jolt-atlas-core --example transformer	not_reported_until_local_run	not_reported_until_local_run	NOT_IMPLEMENTED_BASELINE
tablero_native_frontier_boundary	Stwo/STARK	local_two_proof_transformer_block_frontier	INTERNAL_FRONTIER_ONLY	local_checked	True	False	True	False	two_proof_frontier_typed_bytes	40700	typed proof-field accounting, local only, not external comparable	no median-of-5 timing claim	local proof-size accounting over two verified Stwo proof objects
tablero_compact_statement_boundary	Tablero statement boundary	local_statement_artifact	STATEMENT_VALIDITY_SURFACE_NOT_PROOF_SIZE_ROW	local_checked	True	False	False	False	statement_chain_rows	199553	not comparable to native proof bytes	no timing claim	statement binding and object classification only
rmsnorm_single_best_label_rejected	Stwo/STARK	local_native_stwo_proof_object_attempt_label_policy	RMSNorm-input opening layout label probe	local_checked	True	False	False	False	best_observed_label_typed_bytes	40836	single best label rejected; worst-label inventory required	no timing claim	favorable label cannot replace worst-label policy
rmsnorm_worst_label_opening_target	Stwo/STARK	local_native_stwo_opening_layout_target	label_probe_b	local_checked	True	False	False	False	worst_label_required_reduction_to_beat_frontier_bytes	1401	target only; no proof object currently removes the required opening bytes	no timing claim	CONDITIONAL_GO_IF_STRUCTURAL_OVERHANG_REMOVAL_EXISTS
adjacent_layout_worst_label_no_go	Stwo/STARK	local_native_stwo_proof_object_attempt	adjacent RMSNorm-input layout under worst-label policy	local_checked	True	False	False	False	adjacent_worst_label_typed_bytes	42724	NO-GO under worst-label policy	no timing claim	RMSNORM_INPUT_ADJACENT_FIXED_COLUMN_LAYOUT_IS_A_REAL_OPENING_LAYOUT_LEVER_BUT_DOES_NOT_SATISFY_WORST_LABEL_FRONTIER_PROMOTION
